date,day,district,month,pet_mm,precip_mm,year
2018-06-15,15,Itezhi-Tezhi,6,-6.593655623824905,-999.0,2018
2018-06-16,16,Itezhi-Tezhi,6,-6.9203286865658615,-999.0,2018
2018-06-17,17,Itezhi-Tezhi,6,-8.774321590550326,-999.0,2018
2018-06-18,18,Itezhi-Tezhi,6,-8.718834228050639,-999.0,2018
2018-06-19,19,Itezhi-Tezhi,6,-8.294446702796215,-999.0,2018
2018-06-20,20,Itezhi-Tezhi,6,-8.93023386595436,-999.0,2018
2018-06-21,21,Itezhi-Tezhi,6,-8.200162176674532,-999.0,2018
2018-06-22,22,Itezhi-Tezhi,6,-7.805109156744773,-999.0,2018
2018-06-23,23,Itezhi-Tezhi,6,-7.161370892946255,-999.0,2018
2018-06-24,24,Itezhi-Tezhi,6,-7.738363052364989,-999.0,2018
2018-06-25,25,Itezhi-Tezhi,6,-8.41048197031576,-999.0,2018
2018-06-26,26,Itezhi-Tezhi,6,-8.787765871589855,-999.0,2018
2018-06-27,27,Itezhi-Tezhi,6,-8.85159865637296,-999.0,2018
2018-06-28,28,Itezhi-Tezhi,6,-7.795000152177251,-999.0,2018
2018-06-29,29,Itezhi-Tezhi,6,-8.26938734228776,-999.0,2018
2018-06-30,30,Itezhi-Tezhi,6,-8.66649734771962,-999.0,2018
2018-07-01,1,Itezhi-Tezhi,7,-8.896658851906828,-999.0,2018
2018-07-02,2,Itezhi-Tezhi,7,-8.205308717344947,-999.0,2018
2018-07-03,3,Itezhi-Tezhi,7,-9.822833489458466,-999.0,2018
2018-07-04,4,Itezhi-Tezhi,7,-10.834405065062642,-999.0,2018
2018-07-05,5,Itezhi-Tezhi,7,-8.229477427104753,-999.0,2018
2018-07-06,6,Itezhi-Tezhi,7,-7.434041666384518,-999.0,2018
2018-07-07,7,Itezhi-Tezhi,7,-5.823494110897838,-999.0,2018
2018-07-08,8,Itezhi-Tezhi,7,-6.394330424122909,-999.0,2018
2018-07-09,9,Itezhi-Tezhi,7,-6.81120142653948,-999.0,2018
2018-07-10,10,Itezhi-Tezhi,7,-7.192486492374346,-999.0,2018
2018-07-11,11,Itezhi-Tezhi,7,-8.400036575758156,-999.0,2018
2018-07-12,12,Itezhi-Tezhi,7,-8.070007327772565,-999.0,2018
2018-07-13,13,Itezhi-Tezhi,7,-7.989863991540517,-999.0,2018
2018-07-14,14,Itezhi-Tezhi,7,-7.652182374001814,-999.0,2018
2018-07-15,15,Itezhi-Tezhi,7,-9.823219652657546,-999.0,2018
2018-07-16,16,Itezhi-Tezhi,7,-9.727014531059435,-999.0,2018
2018-07-17,17,Itezhi-Tezhi,7,-7.978937235826366,-999.0,2018
2018-07-18,18,Itezhi-Tezhi,7,-8.123814226351563,-999.0,2018
2018-07-19,19,Itezhi-Tezhi,7,-8.100229118528933,-999.0,2018
2018-07-20,20,Itezhi-Tezhi,7,-8.572188295076643,-999.0,2018
2018-07-21,21,Itezhi-Tezhi,7,-9.21457453894748,-999.0,2018
